Source_Code,Source
0,Arts and crafts and etiquette supplies manufacturing
1,Basic chemical raw materials manufacturing
2,Battery manufacturing
3,"Coatings, printing ink, paint and similar products manufacture"
4,Commonly used non-ferrous metal acquisition
5,Commonly used non-ferrous metal smelting
6,Electronic components and electronic special materials
7,Environmental governance industry
8,"Explosives, fire and fireworks product manufacturing"
9,Ferroalloy smelting
10,Fur tanning and products processing
11,Gas drilling
12,Glass manufacturing
13,Lighting appliance manufacturing
14,Metal surface treatment and heat treatment processing
15,Noble metal acquisition
16,Noble metal smelting
17,Rare and rare earth metals smelting
18,Refined petroleum products manufacturing
19,Steelmaking
20,Synthetic materials manufacturing
21,Universal instruments manufacturing
22,Unspecified
23,Veterinary drug manufacturing
24,Wood processing
