Scenario,Metric,Score_Mean,Score_Std
S1,Train BA,0.8749413506330411,0.014936639535002322
S1,Val BA,0.8238970795665992,0.009829432789037808
S1,Test BA,0.7795787434563561,0.020145392773943747
S1,Train F1-Macro,0.7255877371158966,0.01447048015152181
S1,Val F1-Macro,0.7210400669976739,0.007972516335502788
S1,Test F1-Macro,0.6870281789789673,0.01364172646348975
S1,Train AUC,0.9961579513893094,0.0007562229802012123
S1,Val AUC,0.9871624178512663,0.0027593371536496127
S1,Test AUC,0.986082702922489,0.00307725979672108
S2,Test AUC,0.9924390234385596,0.0017844498796587764
S2,Val AUC,0.9936634243844894,0.0026813252466294764
S2,Test F1-Macro,0.735368287976043,0.025884778393205413
S2,Val F1-Macro,0.8306128654731129,0.036680933047741865
S2,Train AUC,0.9955110023432979,0.0007956180829821386
S2,Test BA,0.9019356168057808,0.015824652871966674
S2,Val BA,0.9349129233676834,0.0109545431531472
S2,Train BA,0.9369485535780113,0.008633103293669798
S2,Train F1-Macro,0.7575120699850942,0.027998262405938376
S3,Test AUC,0.9863714407039377,0.002462369589042678
S3,Val AUC,0.9879989988053742,0.0017317266649045997
S3,Train AUC,0.9940698869020765,0.0006203692813137095
S3,Test F1-Macro,0.7076532584980194,0.01791438477090631
S3,Val F1-Macro,0.7600261654759137,0.02445700581570722
S3,Test BA,0.8232894984468949,0.03209894588088101
S3,Val BA,0.8741864385638604,0.022561630108250044
S3,Train BA,0.9070625306312781,0.013888503831347702
S3,Train F1-Macro,0.7498591869177458,0.02019043960839751
S4,Train AUC,0.9968805189032107,0.0005200134941436932
S4,Test AUC,0.9927218729212253,0.002196218604756078
S4,Val AUC,0.9934893531133699,0.002087631898476442
S4,Test F1-Macro,0.768547018071733,0.013611295039868555
S4,Val F1-Macro,0.7859894455340217,0.020722100080697962
S4,Train F1-Macro,0.7908754114092182,0.023547150511427282
S4,Test BA,0.867192073687429,0.03951128413613426
S4,Val BA,0.8961744052322613,0.023268431342326545
S4,Train BA,0.9193292511145245,0.010376935415847253
S5,Test AUC,0.9660070310723586,0.017188274887647566
S5,Val AUC,0.968247003192384,0.021693459434986018
S5,Train AUC,0.999208442967301,0.0002667507428915042
S5,Test F1-Macro,0.68845700824812,0.05531913878240862
S5,Val F1-Macro,0.7599346694124222,0.046596039269424655
S5,Train F1-Macro,0.7969459999572553,0.038392124468275286
S5,Test BA,0.8303345412190751,0.05837174417119208
S5,Val BA,0.8697687519482104,0.0531575068820313
S5,Train BA,0.9693726817656831,0.01811526347594109
S6,Test AUC,0.9993511422318676,0.0005176363907076357
S6,Val AUC,0.9989066602421321,0.0009735070373687797
S6,Train AUC,0.9999147448514621,2.583455626375762e-05
S6,Test F1-Macro,0.8375960639855984,0.024893066537243054
S6,Test BA,0.9430165775547881,0.028809112333489893
S6,Train F1-Macro,0.8515286973699526,0.023264138136311945
S6,Val BA,0.9735843129625102,0.013260387912025428
S6,Train BA,0.9897694553611498,0.007210685807533428
S6,Val F1-Macro,0.858340364614652,0.021338905284459718
S7,Val AUC,0.999622334440633,0.0002548000891656405
S7,Train BA,0.9826412506537657,0.005505176005310594
S7,Val BA,0.9700177186482237,0.012558280790367596
S7,Test BA,0.959334552373357,0.02022505013273605
S7,Train F1-Macro,0.7897721596585174,0.018312492997423217
S7,Val F1-Macro,0.7877039882436276,0.016021454855287647
S7,Test F1-Macro,0.7902336699545514,0.01602214648997511
S7,Train AUC,0.9998914693157002,2.4055780371402903e-05
S7,Test AUC,0.9997120767523551,0.00014979072804080547
